股票代码,股票简称,现价(元),涨跌幅(%),区间收盘价:前复权(元)2020.01.02-2020.12.09,加权净资产收益率(%)2020.09.30,区间开盘价:前复权(元)2020.01.02-2020.12.09,区间最高价:前复权(元)2020.01.02-2020.12.09,区间最低价:前复权(元)2020.01.02-2020.12.09,所属同花顺行业,预测净资产收益率(%)2022.12.31,预测净资产收益率(%)2021.12.31,预测净资产收益率(%)2020.12.31,净利润(元)2020.09.30,净资产(元)2020.09.30
603327.SH,福蓉科技,24.02,-2.278,24.02,18.75,28.99,35.55,22.05,电子-电子制造-电子零部件制造,--,--,--,254280769.5,1429380614.72
002838.SZ,道恩股份,23.84,-1.892,23.85,53.94,10.291,62.131,10.231,化工-化工合成材料-改性塑料,18.71,19.224,49.356,779972255.55,1897512341.44
600801.SH,华新水泥,23.61,-0.673,23.61,18.01,25.58,29.1,16.79,建筑材料-建筑材料-水泥制造,21.0205,23.4811,23.2342,4024415213,24287012104
603010.SH,万盛股份,23.29,-2.594,23.28,17.36,11.23,25.75,9.55,化工-化学制品-其他化学制品,19.9383,21.3567,20.0767,230155105.7,1444512035.02
300481.SZ,濮阳惠成,23.23,-1.777,23.22,15.36,17.85,27.57,13.55,化工-化学制品-其他化学制品,20.7622,19.5322,18.0544,140197914.23,956677776.22
000739.SZ,普洛药业,23.09,-0.517,23.08,15.77,12.875,29.1,12.445,医药生物-化学制药-化学原料药,20.4409,19.5073,18.0973,630118433.62,4203773248.54
603565.SH,中谷物流,23.01,-1.202,23.01,16.23,--,31.95,22.6,交通运输-港口航运-航运Ⅲ,--,--,--,494520023.17,4666278766.1
605222.SH,起帆电缆,22.94,-1.163,22.94,16.19,--,32.11,21.76,机械设备-电气设备-其他电力设备,--,--,--,307647731.35,2717938716.93
605388.SH,均瑶健康,22.70,4.688,22.78,17.34,--,32.25,16.12,食品饮料-饮料制造-软饮料,--,--,--,197380810.22,1914857007.14
300418.SZ,昆仑万维,22.23,-1.550,22.23,60.49,16.82434,31.13,16.68434,信息服务-传媒-其他传媒,16.0125,16.31,47.665,4175491807.24,9042203171.58
002028.SZ,思源电气,22.00,-2.913,22.00,15.21,13.75,30.66,12.5,机械设备-电气设备-输变电设备,19.675,19.18,18.86,832631761.44,6010465244.11
